127.0.0.1, 2018-10-26 18:30:52, GET, /admin/default/site, HTTP/1.1, 200, 0.035386
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/default/index, HTTP/1.1, 200, 0.035478
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001079
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000639
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000898
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/js/calendar.js, HTTP/1.1, 200, 0.000647
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/js/jquery.js, HTTP/1.1, 200, 0.002135
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000936
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/css/calendar.css, HTTP/1.1, 200, 0.002671
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/js/web2py.js, HTTP/1.1, 200, 0.000869
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002058
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/images/background.jpg, HTTP/1.1, 404, 0.000241
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/images/favicon.png, HTTP/1.1, 200, 0.000458
127.0.0.1, 2018-10-26 18:30:56, GET, /handyhouse/static/images/favicon.ico, HTTP/1.1, 200, 0.000304
127.0.0.1, 2018-10-26 18:37:49, GET, /handyhouse/default/index, HTTP/1.1, 200, 0.013221
127.0.0.1, 2018-10-26 18:37:49, GET, /handyhouse/static/images/background.jpg, HTTP/1.1, 404, 0.000258
127.0.0.1, 2018-10-26 19:02:26, GET, /, HTTP/1.1, 303, 0.000525
127.0.0.1, 2018-10-26 19:02:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.055369
127.0.0.1, 2018-10-26 19:02:27, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000257
127.0.0.1, 2018-10-26 19:02:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000285
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/default/index, HTTP/1.1, 200, 0.040854
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.029955
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.033457
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.033548
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.035385
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.014780
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.016540
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.006165
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.006694
127.0.0.1, 2018-10-26 19:02:37, GET, /handyhouse/static/images/background.jpg, HTTP/1.1, 404, 0.000244
127.0.0.1, 2018-10-26 19:05:40, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.013885
127.0.0.1, 2018-10-26 19:06:03, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.011297
127.0.0.1, 2018-10-26 19:06:04, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.009014
